county,date,state,cases,deaths
Cook,2020-04-27,Illinois,31953,1347.0
San Francisco,2020-04-28,California,1471,23.0
Cook,2020-04-28,Georgia,20,1.0
Cook,2020-04-28,Illinois,33449,1457.0
San Francisco,2020-04-29,California,1490,23.0
Cook,2020-04-29,Georgia,22,1.0
Cook,2020-04-29,Illinois,34880,1516.0
San Francisco,2020-04-30,California,1502,25.0
Cook,2020-04-30,Georgia,23,1.0
Cook,2020-04-30,Illinois,36513,1607.0
San Francisco,2020-05-01,California,1526,28.0
Cook,2020-05-01,Georgia,25,1.0
Cook,2020-05-01,Illinois,38668,1673.0
San Francisco,2020-05-02,California,1552,29.0
Cook,2020-05-02,Georgia,25,1.0
Cook,2020-05-02,Illinois,40227,1743.0
San Francisco,2020-05-03,California,1632,29.0
Cook,2020-05-03,Georgia,28,1.0
Cook,2020-05-03,Illinois,42324,1786.0
San Francisco,2020-05-04,California,1692,30.0
Cook,2020-05-04,Georgia,28,1.0
Cook,2020-05-04,Illinois,43715,1802.0
San Francisco,2020-05-05,California,1760,31.0
Cook,2020-05-05,Georgia,28,1.0
Cook,2020-05-05,Illinois,45223,1922.0
San Francisco,2020-05-06,California,1779,31.0
Cook,2020-05-06,Georgia,31,1.0
Cook,2020-05-06,Illinois,46689,2004.0
San Francisco,2020-05-07,California,1806,32.0
Cook,2020-05-07,Georgia,31,1.0
Cook,2020-05-07,Illinois,48341,2110.0
San Francisco,2020-05-08,California,1856,33.0
Cook,2020-05-08,Georgia,31,1.0
Cook,2020-05-08,Illinois,50236,2197.0
San Francisco,2020-05-09,California,1894,33.0
Cook,2020-05-09,Georgia,31,1.0
Cook,2020-05-09,Illinois,51674,2264.0
San Francisco,2020-05-10,California,1946,34.0
Cook,2020-05-10,Georgia,32,1.0
Cook,2020-05-10,Illinois,52655,2317.0
San Francisco,2020-05-11,California,1957,35.0
Cook,2020-05-11,Georgia,32,2.0
Cook,2020-05-11,Illinois,53381,2361.0
San Francisco,2020-05-12,California,1980,35.0
Cook,2020-05-12,Georgia,32,3.0
Cook,2020-05-12,Illinois,55470,2449.0
